Date,ESH6,ESM6,ESU6,ESZ6
2015-10-21,2002.5,1993.,2002.5,2003.
2015-10-22,2047.,2040.,2017.75,2003.
2015-10-23,2056.75,2049.5,2050.,2003.
2015-10-26,2054.75,2048.,2050.,2003.
2015-10-27,2056.,2048.5,2031.25,2029.
2015-10-28,2074.,2069.,2056.,2029.
2015-10-29,2077.,2068.5,2056.,2029.
2015-10-30,2066.25,2057.75,2068.5,2050.
2015-11-02,2085.5,2085.,2065.,2050.
2015-11-03,2095.,2087.75,2069.,2050.
2015-11-04,2088.5,2083.25,2069.,2050.
2015-11-05,2088.5,2081.,2065.25,2050.
2015-11-06,2087.,2080.25,2060.,2050.
2015-11-09,2065.,2060.5,2049.,2040.
2015-11-10,2070.,2065.5,2054.5,2040.
2015-11-11,2061.5,2055.25,2054.5,2040.
2015-11-12,2032.75,2028.,2039.25,2022.
2015-11-13,2005.,1998.5,1999.5,2022.
2015-11-16,2041.25,2033.25,2025.5,2022.
2015-11-17,2044.25,2036.,2040.,2022.
2015-11-18,2071.5,2067.5,2054.25,2039.5
2015-11-19,2072.5,2064.25,2060.25,2039.5
2015-11-20,2081.75,2073.,2065.,2039.5
2015-11-23,2076.,2067.5,2060.,2039.5
2015-11-24,2076.5,2070.75,2070.,2039.5
2015-11-25,2080.75,2075.,2070.,2039.5
2015-11-26,2088.,2079.75,2070.,2039.5
2015-11-27,2083.,2076.75,2070.,2039.5
2015-11-30,2078.,2071.5,2061.,2039.5
2015-12-01,2092.25,2086.25,2069.75,2039.5
2015-12-02,2076.25,2070.25,2080.,2080.
2015-12-03,2046.75,2039.,2027.,2080.
2015-12-04,2081.5,2074.75,2068.,2061.
2015-12-07,2074.,2066.,2058.,2051.75
2015-12-08,2052.75,2045.5,2040.,2039.75
2015-12-09,2037.,2027.,2024.,2039.75
2015-12-10,2042.75,2034.,2027.25,2024.75
2015-12-11,1998.75,1989.75,1996.75,1990.
2015-12-14,2011.5,2002.5,1999.,1996.25
2015-12-15,2037.5,2029.,2023.,2015.
2015-12-16,2060.,2053.,2050.,2040.
2015-12-17,2023.,2016.75,2027.5,2015.
2015-12-18,1995.,1987.5,1983.25,1995.
2015-12-21,2018.,2011.5,2004.5,2000.
2015-12-22,2033.75,2028.,2022.5,2011.25
2015-12-23,2053.,2046.25,2039.25,2030.
2015-12-24,2050.75,2044.75,2037.75,2040.
2015-12-28,2050.,2044.25,2034.75,2040.
2015-12-29,2073.25,2066.75,2058.75,2055.
2015-12-30,2056.25,2048.5,2042.5,2038.
2015-12-31,2036.,2029.,2021.5,2020.
2016-01-04,2009.5,2002.25,1995.25,1983.
2016-01-05,2010.25,2005.5,1995.75,1988.75
2016-01-06,1986.75,1980.5,1972.,1956.
2016-01-07,1934.5,1927.25,1922.25,1940.
2016-01-08,1913.25,1905.,1898.,1918.
2016-01-11,1912.5,1906.25,1899.5,1886.75
2016-01-12,1922.5,1916.,1910.25,1910.
2016-01-13,1883.,1875.,1868.75,1870.
2016-01-14,1912.25,1905.75,1898.5,1899.5
2016-01-15,1876.5,1869.,1862.75,1845.
2016-01-18,1873.,1863.5,1857.25,1850.
2016-01-19,1872.,1864.5,1861.,1860.
2016-01-20,1852.,1844.25,1837.75,1840.
2016-01-21,1861.5,1853.,1844.75,1853.
2016-01-22,1899.25,1891.,1884.75,1881.25
2016-01-25,1871.75,1864.,1854.75,1848.
2016-01-26,1888.,1880.75,1873.75,1874.25
2016-01-27,1878.,1870.,1860.,1854.5
2016-01-28,1882.,1873.75,1866.5,1863.
2016-01-29,1931.25,1922.75,1914.,1903.75
2016-02-01,1928.75,1920.5,1916.,1910.75
2016-02-02,1896.75,1887.,1879.,1910.75
2016-02-03,1908.,1899.5,1892.,1884.
2016-02-04,1905.75,1897.25,1884.75,1889.75
2016-02-05,1873.75,1864.75,1855.,1846.
2016-02-08,1851.,1842.5,1836.75,1833.
2016-02-09,1846.25,1838.25,1832.,1826.
2016-02-10,1842.25,1833.5,1829.,1825.5
2016-02-11,1825.5,1816.,1807.75,1810.75
2016-02-12,1860.,1849.75,1843.,1833.
2016-02-15,1885.25,1875.75,1868.,1860.
2016-02-16,1889.,1879.,1875.,1866.
2016-02-17,1927.75,1918.75,1910.5,1898.75
2016-02-18,1918.25,1909.,1901.,1887.25
2016-02-19,1914.25,1905.,1898.,1879.
2016-02-22,1933.5,1924.25,1920.,1916.25
2016-02-23,1914.25,1905.25,1898.,1895.
2016-02-24,1933.5,1924.25,1916.25,1907.
2016-02-25,1949.75,1941.,1934.5,1925.
2016-02-26,1941.25,1932.5,1928.,1930.
2016-02-29,1928.25,1919.25,1914.,1905.25
2016-03-01,1977.5,1968.5,1960.75,1951.5
2016-03-02,1982.25,1972.75,1966.25,1959.25
2016-03-03,1991.5,1982.5,1975.,1966.75
2016-03-04,1994.75,1986.,1977.75,1972.75
2016-03-07,1999.75,1990.75,1983.75,1968.25
2016-03-08,1982.5,1973.25,1960.5,1956.5
2016-03-09,1989.25,1980.25,1972.75,1965.75
2016-03-10,1989.75,1980.,1970.75,1966.25
2016-03-11,2021.,2011.75,2003.25,1997.75
2016-03-14,2018.5,2009.5,2001.25,1996.
2016-03-15,2016.,2006.75,1999.,1989.75
2016-03-16,2027.25,2017.25,2009.,2004.5
2016-03-17,2041.,2031.5,2023.25,2019.5
2016-03-18,2048.,2038.75,2028.75,2027.
2016-03-21,nan,2043.25,2035.75,2028.25
2016-03-22,nan,2043.25,2035.,2026.
2016-03-23,nan,2028.25,2019.75,2013.75
2016-03-24,nan,2030.25,2022.25,2015.25
2016-03-28,nan,2028.,2020.,2013.75
2016-03-29,nan,2048.75,2040.75,2033.75
2016-03-30,nan,2055.5,2047.75,2040.
2016-03-31,nan,2052.25,2044.75,2037.
2016-04-01,nan,2064.75,2057.,2050.
2016-04-04,nan,2056.75,2048.,2042.
2016-04-05,nan,2041.75,2033.75,2026.25
2016-04-06,nan,2059.25,2052.,2041.25
2016-04-07,nan,2035.25,2027.,2021.
2016-04-08,nan,2041.75,2033.25,2025.75
2016-04-11,nan,2033.,2024.5,2018.75
2016-04-12,nan,2055.5,2047.25,2039.25
2016-04-13,nan,2075.75,2067.,2061.5
2016-04-14,nan,2077.75,2069.5,2062.5
2016-04-15,nan,2074.75,2067.25,2060.
2016-04-18,nan,2086.25,2078.25,2072.5
2016-04-19,nan,2094.25,2086.,2080.
2016-04-20,nan,2097.75,2089.25,2082.75
2016-04-21,nan,2082.5,2072.5,2066.
2016-04-22,nan,2086.,2077.75,2071.75
2016-04-25,nan,2084.25,2076.,2068.5
2016-04-26,nan,2084.,2076.,2069.75
2016-04-27,nan,2092.75,2085.,2077.5
2016-04-28,nan,2074.25,2066.5,2060.
2016-04-29,nan,2060.25,2052.75,2045.5
2016-05-02,nan,2075.75,2066.25,2060.5
2016-05-03,nan,2058.,2050.,2042.25
2016-05-04,nan,2046.75,2038.5,2031.5
2016-05-05,nan,2043.25,2035.75,2028.25
2016-05-06,nan,2054.25,2046.25,2037.75
2016-05-09,nan,2054.25,2045.5,2038.75
2016-05-10,nan,2077.,2068.75,2062.25
2016-05-11,nan,2059.25,2051.,2044.25
2016-05-12,nan,2060.,2051.75,2050.
2016-05-13,nan,2042.5,2034.75,2028.5
2016-05-16,nan,2061.75,2053.75,2046.
2016-05-17,nan,2044.5,2036.5,2027.25
2016-05-18,nan,2043.25,2034.75,2027.25
2016-05-19,nan,2039.,2030.5,2018.
2016-05-20,nan,2050.,2042.,2035.
2016-05-23,nan,2045.,2036.75,2029.5
2016-05-24,nan,2075.,2067.25,2058.75
2016-05-25,nan,2088.75,2080.75,2072.75
2016-05-26,nan,2090.75,2083.,2075.25
2016-05-27,nan,2098.5,2090.25,2083.25
2016-05-30,nan,2102.,2092.75,2087.75
2016-05-31,nan,2094.5,2086.25,2080.25
2016-06-01,nan,2097.,2088.75,2083.
2016-06-02,nan,2103.75,2095.25,2089.25
2016-06-03,nan,2097.25,2088.25,2081.
2016-06-06,nan,2108.5,2100.,2093.5
2016-06-07,nan,2110.25,2101.75,2095.
2016-06-08,nan,2117.75,2108.5,2101.5
2016-06-09,nan,2113.75,2104.75,2099.
2016-06-10,nan,2095.75,2087.,2079.75
2016-06-13,nan,2076.,2067.25,2060.
2016-06-14,nan,2073.25,2064.75,2056.25
2016-06-15,nan,2071.,2062.5,2055.
2016-06-16,nan,2077.75,2069.5,2062.75
2016-06-17,nan,2078.5,2059.75,2052.5
2016-06-20,nan,nan,2082.75,2075.
2016-06-21,nan,nan,2079.25,2071.75
2016-06-22,nan,nan,2077.,2070.
2016-06-23,nan,nan,2113.25,2105.75
2016-06-24,nan,nan,2018.25,2009.75
2016-06-27,nan,nan,1982.,1973.
2016-06-28,nan,nan,2028.25,2019.75
2016-06-29,nan,nan,2074.25,2066.
2016-06-30,nan,nan,2086.5,2078.25
2016-07-01,nan,nan,2096.25,2087.25
2016-07-04,nan,nan,2100.,2091.25
2016-07-05,nan,nan,2084.5,2075.25
2016-07-06,nan,nan,2093.,2085.
2016-07-07,nan,nan,2092.25,2083.75
2016-07-08,nan,nan,2120.75,2112.
2016-07-11,nan,nan,2130.5,2122.5
2016-07-12,nan,nan,2146.,2137.5
2016-07-13,nan,nan,2145.75,2138.
2016-07-14,nan,nan,2157.75,2148.25
2016-07-15,nan,nan,2146.,2138.
2016-07-18,nan,nan,2160.25,2151.75
2016-07-19,nan,nan,2159.,2151.
2016-07-20,nan,nan,2168.75,2159.25
2016-07-21,nan,nan,2159.25,2151.5
2016-07-22,nan,nan,2167.5,2159.5
2016-07-25,nan,nan,2163.25,2155.25
2016-07-26,nan,nan,2166.25,2158.25
2016-07-27,nan,nan,2163.25,2155.25
2016-07-28,nan,nan,2166.,2157.75
2016-07-29,nan,nan,2171.,2162.75
2016-08-01,nan,nan,2165.5,2157.75
2016-08-02,nan,nan,2153.,2144.75
2016-08-03,nan,nan,2156.75,2149.25
2016-08-04,nan,nan,2160.25,2151.75
2016-08-05,nan,nan,2177.5,2169.75
2016-08-08,nan,nan,2176.5,2168.75
2016-08-09,nan,nan,2178.25,2170.75
2016-08-10,nan,nan,2172.75,2165.
2016-08-11,nan,nan,2181.75,2174.75
2016-08-12,nan,nan,2181.,2173.5
2016-08-15,nan,nan,2185.5,2178.75
2016-08-16,nan,nan,2178.25,2170.5
2016-08-17,nan,nan,2181.25,2173.5
2016-08-18,nan,nan,2183.,2176.25
2016-08-19,nan,nan,2182.5,2175.25
2016-08-22,nan,nan,2181.25,2174.
2016-08-23,nan,nan,2185.5,2178.5
2016-08-24,nan,nan,2175.25,2168.25
2016-08-25,nan,nan,2174.5,2167.
2016-08-26,nan,nan,2167.25,2160.25
2016-08-29,nan,nan,2180.,2172.75
2016-08-30,nan,nan,2175.75,2168.75
2016-08-31,nan,nan,2168.5,2160.75
2016-09-01,nan,nan,2166.25,2159.25
2016-09-02,nan,nan,2179.25,2172.25
2016-09-05,nan,nan,2178.75,2172.
2016-09-06,nan,nan,2185.25,2178.
2016-09-07,nan,nan,2184.75,2177.75
2016-09-08,nan,nan,2178.,2171.25
2016-09-09,nan,nan,2121.25,2114.5
2016-09-12,nan,nan,2158.25,2151.25
2016-09-13,nan,nan,2132.,2125.5
2016-09-14,nan,nan,2122.25,2115.75
2016-09-15,nan,nan,2144.25,2136.75
2016-09-16,nan,nan,2141.75,2133.
2016-09-19,nan,nan,nan,2133.5
2016-09-20,nan,nan,nan,2130.
